time,visual,audio,shock_left,shock_right,shock_tail,recording_start,stim_start,camera_ttl_trigger
1702637451.5756261,0,0,1,1,1,0,0,0
1702637451.5756261,0,0,1,1,1,0,0,0
1702637463.1943786,0,0,1,1,1,0,1,1
1702637463.2053475,0,0,1,1,1,0,0,1
1702637583.2173934,1,0,1,1,1,0,0,1
1702637598.2001216,0,0,1,1,1,0,0,1
1702637643.208199,1,0,1,1,1,0,0,1
1702637658.2126846,0,0,1,1,1,0,0,1
1702637703.1937282,1,0,1,1,1,0,0,1
1702637718.2077258,0,0,1,1,1,0,0,1
1702637763.1949332,1,0,1,1,1,0,0,1
1702637778.1971574,0,0,1,1,1,0,0,1
1702637823.2005086,1,0,1,1,1,0,0,1
1702637838.2053359,0,0,1,1,1,0,0,1
1702637883.2070138,1,0,1,1,1,0,0,1
1702637898.1948404,0,0,1,1,1,0,0,1
1702637943.2117825,1,0,1,1,1,0,0,1
1702637958.2000546,0,0,1,1,1,0,0,1
1702638003.2108965,1,0,1,1,1,0,0,1
1702638018.1999118,0,0,1,1,1,0,0,1
1702638063.2071257,1,0,1,1,1,0,0,1
1702638078.2091277,0,0,1,1,1,0,0,1
1702638123.2164493,1,0,1,1,1,0,0,1
1702638138.211454,0,0,1,1,1,0,0,1
1702638189.3129864,0,0,1,1,1,0,0,0
