condition,project,subject_id,session_id,run_id,functional_path,anatomical_path,data_root,
VisualTest,MethodsPaper,sub-methods02,ses-231215,run-115047,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231215/run-115047/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231215/run-113409/,data03,copied
VisualTest,MethodsPaper,sub-methods02,ses-231218,run-152539,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231218/run-152539/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231218/run-144557/,data03,copied
VisualTest,MethodsPaper,sub-methods03,ses-240104,run-125448,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240104/run-125448/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240104/run-123823/,data03,copied
VisualTest,MethodsPaper,sub-methods03,ses-240105,run-103457,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240105/run-103457/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240105/run-102041/,data03,copied
VisualTest,MethodsPaper,sub-methods04,ses-240104,run-142825,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240104/run-142825/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240104/run-140723/,data03,
VisualTest,MethodsPaper,sub-methods04,ses-240105,run-114946,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240105/run-114946/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240105/run-113659/,data03,
VisualTest,MethodsPaper,sub-methods05,ses-240123,run-145033,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240123/run-145033/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240123/run-143248/,data03,
VisualTest,MethodsPaper,sub-methods05,ses-240124,run-114404,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240124/run-114404/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240124/run-112840/,data03,
VisualTest,MethodsPaper,sub-methods01,ses-231222,run-125114,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-231222/run-125114/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-231222/run-120552/,data03,
VisualTest,MethodsPaper,sub-methods02,ses-231222,run-105516,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231222/run-105516/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231222/run-102916/,data03,
